Month,Property type,Location,Measure,Value,Value Unit,Value Label,Null Reason
2017-07,House,Auckland,Median sale price,915000,nzd,NZD,
2017-07,House,Christchurch,Median sale price,445000,nzd,NZD,
2017-07,House,North Island Metro,Median sale price,538000,nzd,NZD,
2017-07,House,Other,Median sale price,385000,nzd,NZD,
2017-07,House,South Island Metro,Median sale price,335000,nzd,NZD,
2017-07,House,Wellington,Median sale price,583000,nzd,NZD,
2017-07,Apartment,Auckland,Median sale price,620000,nzd,NZD,
2017-07,Apartment,Christchurch,Median sale price,342000,nzd,NZD,
2017-07,Apartment,North Island Metro,Median sale price,390000,nzd,NZD,
2017-07,Apartment,Other,Median sale price,287250,nzd,NZD,
2017-07,Apartment,South Island Metro,Median sale price,269000,nzd,NZD,
2017-07,Apartment,Wellington,Median sale price,400000,nzd,NZD,
2017-08,House,Auckland,Median sale price,912500,nzd,NZD,
2017-08,House,Christchurch,Median sale price,437000,nzd,NZD,
2017-08,House,North Island Metro,Median sale price,548750,nzd,NZD,
2017-08,House,Other,Median sale price,383250,nzd,NZD,
2017-08,House,South Island Metro,Median sale price,333500,nzd,NZD,
2017-08,House,Wellington,Median sale price,590000,nzd,NZD,
2017-08,Apartment,Auckland,Median sale price,640000,nzd,NZD,
2017-08,Apartment,Christchurch,Median sale price,345000,nzd,NZD,
2017-08,Apartment,North Island Metro,Median sale price,385000,nzd,NZD,
2017-08,Apartment,Other,Median sale price,285000,nzd,NZD,
2017-08,Apartment,South Island Metro,Median sale price,277500,nzd,NZD,
2017-08,Apartment,Wellington,Median sale price,430000,nzd,NZD,
2017-09,House,Auckland,Median sale price,918000,nzd,NZD,
2017-09,House,Christchurch,Median sale price,458250,nzd,NZD,
2017-09,House,North Island Metro,Median sale price,546500,nzd,NZD,
2017-09,House,Other,Median sale price,397334.5,nzd,NZD,
2017-09,House,South Island Metro,Median sale price,347250,nzd,NZD,
2017-09,House,Wellington,Median sale price,595000,nzd,NZD,
2017-09,Apartment,Auckland,Median sale price,625000,nzd,NZD,
2017-09,Apartment,Christchurch,Median sale price,348000,nzd,NZD,
2017-09,Apartment,North Island Metro,Median sale price,419000,nzd,NZD,
2017-09,Apartment,Other,Median sale price,304000,nzd,NZD,
2017-09,Apartment,South Island Metro,Median sale price,276500,nzd,NZD,
2017-09,Apartment,Wellington,Median sale price,400000,nzd,NZD,
2017-10,House,Auckland,Median sale price,928500,nzd,NZD,
2017-10,House,Christchurch,Median sale price,481781,nzd,NZD,
2017-10,House,North Island Metro,Median sale price,545000,nzd,NZD,
2017-10,House,Other,Median sale price,397825,nzd,NZD,
2017-10,House,South Island Metro,Median sale price,369500,nzd,NZD,
2017-10,House,Wellington,Median sale price,615000,nzd,NZD,
2017-10,Apartment,Auckland,Median sale price,655000,nzd,NZD,
2017-10,Apartment,Christchurch,Median sale price,343000,nzd,NZD,
2017-10,Apartment,North Island Metro,Median sale price,423750,nzd,NZD,
2017-10,Apartment,Other,Median sale price,310500,nzd,NZD,
2017-10,Apartment,South Island Metro,Median sale price,252500,nzd,NZD,
2017-10,Apartment,Wellington,Median sale price,430000,nzd,NZD,
2017-11,House,Auckland,Median sale price,981800,nzd,NZD,
2017-11,House,Christchurch,Median sale price,477500,nzd,NZD,
2017-11,House,North Island Metro,Median sale price,553000,nzd,NZD,
2017-11,House,Other,Median sale price,398000,nzd,NZD,
2017-11,House,South Island Metro,Median sale price,355637.5,nzd,NZD,
2017-11,House,Wellington,Median sale price,656500,nzd,NZD,
2017-11,Apartment,Auckland,Median sale price,645000,nzd,NZD,
2017-11,Apartment,Christchurch,Median sale price,302000,nzd,NZD,
2017-11,Apartment,North Island Metro,Median sale price,400000,nzd,NZD,
2017-11,Apartment,Other,Median sale price,295000,nzd,NZD,
2017-11,Apartment,South Island Metro,Median sale price,280575,nzd,NZD,
2017-11,Apartment,Wellington,Median sale price,423500,nzd,NZD,
2017-12,House,Auckland,Median sale price,925000,nzd,NZD,
2017-12,House,Christchurch,Median sale price,465000,nzd,NZD,
2017-12,House,North Island Metro,Median sale price,560000,nzd,NZD,
2017-12,House,Other,Median sale price,405000,nzd,NZD,
2017-12,House,South Island Metro,Median sale price,360000,nzd,NZD,
2017-12,House,Wellington,Median sale price,620000,nzd,NZD,
2017-12,Apartment,Auckland,Median sale price,607000,nzd,NZD,
2017-12,Apartment,Christchurch,Median sale price,345000,nzd,NZD,
2017-12,Apartment,North Island Metro,Median sale price,425000,nzd,NZD,
2017-12,Apartment,Other,Median sale price,290000,nzd,NZD,
2017-12,Apartment,South Island Metro,Median sale price,300000,nzd,NZD,
